id,title,description,servings,time_minutes,difficulty,category,tags,image,image_prompt
kroppkakor-med-lingon-och-smor,Kroppkakor med lingon och smör,Mättande svensk klassiker med enkla fräscha tillbehör.,4,60,medium,helg,"husman, mättande",/seed-recipes/images/kroppkakor-med-lingon-och-smor.png,"Swedish potato dumplings kroppkakor with lingonberries and melted butter, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
rotmos-med-flaskkorv,Rotmos med fläskkorv,"Värmande, billig och klassisk vardagsmat.",4,45,easy,budget,"husman, budget",/seed-recipes/images/rotmos-med-flaskkorv.png,"Swedish root vegetable mash rotmos with pork sausage and mustard, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kalops-med-potatis-och-rodbetor,Kalops med potatis och rödbetor,Mustig gryta med mild kryddning och klassiska tillbehör.,4,90,medium,helg,"gryta, husman",/seed-recipes/images/kalops-med-potatis-och-rodbetor.png,"Swedish beef stew kalops with potatoes, carrots and pickled beetroot, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
flaskpannkaka-med-lingon,Fläskpannkaka med lingon,En enkel ugnsfavorit som räcker till många.,4,35,easy,barnfavorit,"barnvänligt, budget, ugn",/seed-recipes/images/flaskpannkaka-med-lingon.png,"Swedish oven pancake with bacon and lingonberry jam, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
pannkakor-med-bar-och-keso,Pannkakor med bär och keso,Barnvänlig middag med lite mer mättnad från keso.,4,30,easy,barnfavorit,"barnvänligt, vegetariskt",/seed-recipes/images/pannkakor-med-bar-och-keso.png,"thin Swedish pancakes with berries, cottage cheese and carrot sticks, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
artsoppa-med-pannkakor,Ärtsoppa med pannkakor,"Torsdagsklassiker som är billig, mättande och enkel.",4,35,easy,soppa,"husman, budget",/seed-recipes/images/artsoppa-med-pannkakor.png,"Swedish yellow pea soup with thin pancakes and jam, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
isterband-med-dillstuvad-potatis,Isterband med dillstuvad potatis,Syrlig korv med krämig dillpotatis och rödbetor.,4,45,medium,helg,"husman, klassiker",/seed-recipes/images/isterband-med-dillstuvad-potatis.png,"Swedish isterband sausage with dill stewed potatoes and beetroot, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
stekt-falukorv-med-makaroner,Stekt falukorv med makaroner,Supersnabb vardagsmat när det ska vara enkelt.,4,20,easy,budget,"snabbt, barnvänligt, budget",/seed-recipes/images/stekt-falukorv-med-makaroner.png,"fried Swedish falukorv sausage with macaroni and carrots, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
makaronipudding-med-skinka,Makaronipudding med skinka,Krämig ugnsrätt som fungerar fint som matlåda.,4,45,easy,budget,"ugn, barnvänligt, budget",/seed-recipes/images/makaronipudding-med-skinka.png,"Swedish macaroni pudding with ham and melted cheese, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kasslergratang-med-ris,Kasslergratäng med ris,"Mild gratäng med sötma, sälta och ris som bas.",4,40,easy,vardag,"ugn, familj",/seed-recipes/images/kasslergratang-med-ris.png,"Swedish kassler ham gratin with rice, pineapple and cheese, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kycklinggryta-med-ris,Kycklinggryta med ris,Kycklinggryta med ris är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/kycklinggryta-med-ris.png,"creamy chicken stew with rice, carrots and peas, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kyckling-i-currysas-med-ris,Kyckling i currysås med ris,Kyckling i currysås med ris är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/kyckling-i-currysas-med-ris.png,"mild chicken curry sauce with rice and vegetables, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
ugnskyckling-med-potatis-och-tzatziki,Ugnskyckling med potatis och tzatziki,Ugnskyckling med potatis och tzatziki är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/ugnskyckling-med-potatis-och-tzatziki.png,"oven baked chicken with potatoes and tzatziki, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kycklingwok-med-nudlar,Kycklingwok med nudlar,Kycklingwok med nudlar är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/kycklingwok-med-nudlar.png,"chicken noodle stir fry with vegetables, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kycklingfajitas-med-gronsaker,Kycklingfajitas med grönsaker,Kycklingfajitas med grönsaker är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/kycklingfajitas-med-gronsaker.png,"chicken fajitas with peppers, tortillas and sour cream, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kycklingsallad-med-pasta,Kycklingsallad med pasta,Kycklingsallad med pasta är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/kycklingsallad-med-pasta.png,"chicken pasta salad with cucumber, tomato and creamy dressing, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
citronkyckling-med-bulgur,Citronkyckling med bulgur,Citronkyckling med bulgur är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/citronkyckling-med-bulgur.png,"lemon chicken with bulgur and green salad, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kycklinglasagne,Kycklinglasagne,Kycklinglasagne är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/kycklinglasagne.png,"chicken lasagna with creamy tomato sauce, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kycklingklubbor-med-ris-och-kall-sas,Kycklingklubbor med ris och kall sås,Kycklingklubbor med ris och kall sås är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/kycklingklubbor-med-ris-och-kall-sas.png,"roasted chicken drumsticks with rice and cold yogurt sauce, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kycklingbiffar-med-potatis,Kycklingbiffar med potatis,Kycklingbiffar med potatis är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/kycklingbiffar-med-potatis.png,"chicken patties with potatoes and cucumber salad, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kramig-kycklingpasta,Krämig kycklingpasta,Krämig kycklingpasta är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/kramig-kycklingpasta.png,"creamy chicken pasta with spinach and parmesan, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kycklingenchiladas,Kycklingenchiladas,Kycklingenchiladas är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,kyckling,"vardag, familj",/seed-recipes/images/kycklingenchiladas.png,"chicken enchiladas with cheese, salsa and salad, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
lax-med-potatis-och-kall-dillsas,Lax med potatis och kall dillsås,Lax med potatis och kall dillsås är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/lax-med-potatis-och-kall-dillsas.png,"oven baked salmon with boiled potatoes and cold dill sauce, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
panerad-fisk-med-potatis-och-remoulad,Panerad fisk med potatis och remoulad,Panerad fisk med potatis och remoulad är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/panerad-fisk-med-potatis-och-remoulad.png,"breaded white fish with potatoes, peas and remoulade sauce, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
fiskgratang-med-potatismos,Fiskgratäng med potatismos,Fiskgratäng med potatismos är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/fiskgratang-med-potatismos.png,"Swedish fish gratin with mashed potatoes and dill, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
torsk-i-tomatsas-med-ris,Torsk i tomatsås med ris,Torsk i tomatsås med ris är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/torsk-i-tomatsas-med-ris.png,"cod in tomato sauce with rice and vegetables, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
laxpasta-med-citron-och-dill,Laxpasta med citron och dill,Laxpasta med citron och dill är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/laxpasta-med-citron-och-dill.png,"creamy salmon pasta with lemon, dill and peas, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
fisktacos-med-vitlokssas,Fisktacos med vitlökssås,Fisktacos med vitlökssås är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/fisktacos-med-vitlokssas.png,"fish tacos with cabbage, cucumber and garlic sauce, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
lax-teriyaki-med-ris,Lax teriyaki med ris,Lax teriyaki med ris är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/lax-teriyaki-med-ris.png,"salmon teriyaki with rice and broccoli, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
tonfiskpasta-med-tomat,Tonfiskpasta med tomat,Tonfiskpasta med tomat är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/tonfiskpasta-med-tomat.png,"tuna tomato pasta with herbs, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
rakwok-med-nudlar,Räkwok med nudlar,Räkwok med nudlar är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/rakwok-med-nudlar.png,"shrimp noodle stir fry with vegetables, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
laxburgare-med-potatis,Laxburgare med potatis,Laxburgare med potatis är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/laxburgare-med-potatis.png,"salmon burger with roasted potatoes and salad, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
ugnstorsk-med-aggsas,Ugnstorsk med äggsås,Ugnstorsk med äggsås är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/ugnstorsk-med-aggsas.png,"oven baked cod with egg sauce and potatoes, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kramig-fiskgryta-med-potatis,Krämig fiskgryta med potatis,Krämig fiskgryta med potatis är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,fisk,"vardag, nyttigare",/seed-recipes/images/kramig-fiskgryta-med-potatis.png,"creamy fish stew with potatoes, carrots and dill, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
halloumibowl-med-ris,Halloumibowl med ris,Halloumibowl med ris är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,vegetariskt,"vardag, vegetariskt",/seed-recipes/images/halloumibowl-med-ris.png,"halloumi rice bowl with cucumber, tomato, corn and yogurt sauce, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
vegetarisk-tacogratang,Vegetarisk tacogratäng,Vegetarisk tacogratäng är en vardagsnära rätt med tydliga smaker och enkel servering.,4,30,easy,vegetariskt,"vardag, vegetariskt",/seed-recipes/images/vegetarisk-tacogratang.png,"vegetarian taco gratin with beans, corn, cheese and salsa, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
